Year,Race Name,Position,First Name,Last Name,Racer Number,Team,Laps Completed,Time
2023,great-britain,19,Kevin,Magnussen,20,17,21,1:30.385
2023,great-britain,20,Nico,Hulkenberg,27,17,22,1:30.591
2023,hungary,1,George,Russell,63,16,13,1:38.795
2023,hungary,2,Oscar,Piastri,81,16,14,1:39.154
2023,hungary,3,Lance,Stroll,18,16,10,1:40.013
2023,hungary,4,Lando,Norris,4,16,13,1:40.277
2023,hungary,5,Fernando,Alonso,14,16,8,1:40.687
2023,hungary,6,Valtteri,Bottas,77,14,14,1:41.032
2023,hungary,7,Charles,Leclerc,16,8,11,1:41.142
2023,hungary,8,Zhou,Guanyu,24,14,9,1:41.363
2023,hungary,9,Logan,Sargeant,2,16,15,1:41.416
2023,hungary,10,Nico,Hulkenberg,27,17,12,1:42.706
2023,hungary,11,Kevin,Magnussen,20,17,14,1:42.906
2023,hungary,12,Yuki,Tsunoda,22,8,7,1:45.575
2023,hungary,13,Alexander,Albon,23,16,10,1:47.403
2023,hungary,14,Daniel,Ricciardo,3,8,7,
2023,hungary,15,Carlos,Sainz,55,8,6,
2023,hungary,16,Sergio,Perez,11,16,2,
2023,hungary,17,Esteban,Ocon,31,16,4,
2023,hungary,18,Pierre,Gasly,10,16,3,
2023,hungary,19,Max,Verstappen,1,16,4,
2023,hungary,20,Lewis,Hamilton,44,16,3,
2023,belgium,1,Carlos,Sainz,55,8,9,2:03.207
2023,belgium,2,Oscar,Piastri,81,16,4,2:03.792
2023,belgium,3,Lando,Norris,4,16,4,2:04.484
2023,belgium,4,Charles,Leclerc,16,8,8,2:08.148
2023,belgium,5,Sergio,Perez,11,16,5,2:08.240
2023,belgium,6,Alexander,Albon,23,16,5,2:08.394
2023,belgium,7,Yuki,Tsunoda,22,8,8,2:09.067
2023,belgium,8,Kevin,Magnussen,20,17,7,2:09.229
2023,belgium,9,Daniel,Ricciardo,3,8,7,2:09.319
2023,belgium,10,Nico,Hulkenberg,27,17,8,2:10.042
2023,belgium,11,Fernando,Alonso,14,16,4,2:10.283
2023,belgium,12,Lewis,Hamilton,44,16,7,2:10.299
2023,belgium,13,George,Russell,63,16,7,2:10.475
2023,belgium,14,Valtteri,Bottas,77,14,9,2:12.085
2023,belgium,15,Zhou,Guanyu,24,14,8,2:14.002
2023,belgium,16,Logan,Sargeant,2,16,4,
2023,belgium,17,Lance,Stroll,18,16,5,
2023,belgium,18,Pierre,Gasly,10,16,2,
2023,belgium,19,Esteban,Ocon,31,16,2,
2023,belgium,20,Max,Verstappen,1,16,2,
2023,netherlands,1,Max,Verstappen,1,16,31,1:11.852
2023,netherlands,2,Fernando,Alonso,14,16,22,1:12.130
2023,netherlands,3,Lewis,Hamilton,44,16,24,1:12.225
2023,netherlands,4,Sergio,Perez,11,16,27,1:12.323
2023,netherlands,5,Alexander,Albon,23,16,25,1:12.447
2023,netherlands,6,Lando,Norris,4,16,22,1:12.460
2023,netherlands,7,Logan,Sargeant,2,16,30,1:12.617
2023,netherlands,8,Oscar,Piastri,81,16,21,1:12.658
2023,netherlands,9,Yuki,Tsunoda,22,8,21,1:12.749
2023,netherlands,10,Esteban,Ocon,31,16,29,1:12.802
2023,netherlands,11,George,Russell,63,16,23,1:12.813
2023,netherlands,12,Pierre,Gasly,10,16,30,1:12.895
2023,netherlands,13,Daniel,Ricciardo,3,8,26,1:12.990
2023,netherlands,14,Kevin,Magnussen,20,17,30,1:13.322
2023,netherlands,15,Valtteri,Bottas,77,14,30,1:13.448
2023,netherlands,16,Charles,Leclerc,16,8,26,1:13.519
2023,netherlands,17,Zhou,Guanyu,24,14,20,1:13.826
